Row_1,Notes regarding Input Position / Object Name,Input Position (RA),Input Position (DEC),Sep (''),Essential Note,Object Name,Amusing Name,amusing redshift,RA (J2000),Dec (J2000),Row_1a
66,,17:55:05.40,+18:15:26.00,0.7,,UGC 11037,UGC11037,0.010431,17h55m05.43s,+18d15m26.5s,66
67,,,,0.7,,SN 2014ay,,,17h55m05.43s,+18d15m26.4s,67
68,,23:44:48.20,-02:06:54.00,0.5,,GALEXASC J234448.27-020653.4,anon58,0.006700,23h44m48.21s,-02d06m53.5s,68
69,,10:21:31.90,+08:24:20.00,0.4,,SDSS J102131.91+082419.8,anon59,0.032668,10h21m31.92s,+08d24m19.9s,69
70,,13:58:13.10,+17:31:52.00,0.5,,CGCG 103-030,CGCG103-030,0.022447,13h58m13.13s,+17d31m51.9s,70
71,,15:57:30.30,+01:06:43.00,0.5,,CGCG 023-005,CGCG023-005,0.033340,15h57m30.27s,+01d06m43.1s,71
72,,12:47:02.70,-24:14:44.00,0.9,,2MASX J12470274-2414435,anon60,0.024797,12h47m02.76s,-24d14m43.7s,72
73,,22:02:01.80,-70:02:30.00,0.3,,ESO 075- G 049,ESO075-G049,0.037519,22h02m01.83s,-70d02m29.8s,73
74,,07:45:16.00,-71:24:38.00,0.6,,NGC 2466,NGC2466,0.017722,07h45m16.05s,-71d24m37.5s,74
75,,,,9.3,,SN 2003gh,,,07h45m17.93s,-71d24m37.3s,75
76,,12:21:49.00,-24:10:06.00,0.7,,ESO 506- G 004,ESO506-G004,0.013416,12h21m49.05s,-24d10m05.8s,76
77,,11:21:57.90,-37:53:58.00,0.5,,ESO 319- G 015,ESO319-G15,0.009159,11h21m57.93s,-37d53m57.8s,77
78,,,,8.3,,GALEXASC J112157.48-375351.2,,,11h21m57.48s,-37d53m51.3s,78
79,,21:57:59.70,+24:16:00.00,0.0,,UGC 11860,UGC11860,0.010424,21h57m59.70s,+24d16m00.0s,79
80,,15:05:54.80,+12:44:39.00,0.9,,MRK 0842,Mrk842,0.022202,15h05m54.86s,+12d44m39.1s,80
81,,22:12:10.40,-27:49:38.00,0.6,,MCG -05-52-046,PGC068269,0.028733,22h12m10.43s,-27d49m38.4s,81
82,,01:57:36.10,+16:46:22.00,0.3,,CGCG 461-012,PGC007377,0.026819,01h57m36.08s,+16d46m22.1s,82
83,,15:00:38.80,-03:51:30.00,0.7,,MCG -01-38-015,PGC053612,0.022722,15h00m38.84s,-03d51m30.0s,83
84,,20:22:00.00,-51:47:48.00,0.5,,2MASX J20220000-5147474,anon61,0.019597,20h22m00.01s,-51d47m47.5s,84
85,,02:52:22.30,-31:49:02.00,0.4,,ESO 416- G 039,ESO416-G039,0.022589,02h52m22.33s,-31d49m02.2s,85
86,,12:46:14.90,-40:48:47.00,0.5,,GALEXASC J124615.00-404846.2,PGC043070,0.015367,12h46m14.94s,-40d48m46.8s,86
87,,20:34:06.20,-01:57:59.00,0.4,,GALEXASC J203406.21-015759.2,anon62,0.020000,20h34m06.22s,-01d57m59.3s,87
88,,23:49:06.70,-07:02:55.00,0.3,Marginal HIPASS detection.,MCG -01-60-044,MCG-01-60-44,0.027169,23h49m06.71s,-07d02m54.7s,88
89,,00:59:50.10,-07:34:41.00,0.3,,NGC 0337,NGC337,0.005490,00h59m50.09s,-07d34m40.7s,89
90,,21:30:30.20,-70:38:49.00,0.2,,2MASX J21303015-7038489,anon63,0.038920,21h30m30.17s,-70d38m49.1s,90
91,,01:50:41.30,-14:31:03.00,0.4,,2MASX J01504127-1431032,anon64,0.033620,01h50m41.27s,-14d31m03.1s,91
92,,06:43:21.60,-69:38:30.00,0.5,,ESO 058- G 012,ESO058-G012,0.015000,06h43m21.64s,-69d38m29.5s,92
93,,01:16:04.90,-61:37:20.00,0.3,,ESO 113- G 032,ESO113-G032,0.029000,01h16m04.94s,-61d37m19.8s,93
94,,22:34:29.80,-24:39:52.00,0.6,,MCG -04-53-013,PGC069190,0.033466,22h34m29.82s,-24d39m52.5s,94
95,,22:16:40.80,-36:09:41.00,0.3,,2dFGRS S588Z294,anon65,0.030800,22h16m40.81s,-36d09m40.7s,95
96,,,,0.9,,2MASX J22164085-3609399,,,22h16m40.84s,-36d09m40.2s,96
97,,,,0.9,,6dF J2216407-360940,,,22h16m40.84s,-36d09m40.2s,97
98,,,,2.0,,DUKST 405-030,,,22h16m40.64s,-36d09m40.6s,98
99,,00:45:32.60,-14:15:33.00,0.5,,2MASX J00453260-1415328,anon66,0.021989,00h45m32.60s,-14d15m32.5s,99
100,,20:21:51.50,-31:17:23.00,0.8,,ESO 462- G 009,ESO462-G009,0.019277,20h21m51.56s,-31d17m23.1s,100
101,,22:23:16.60,-28:58:51.00,0.5,,ESO 467- G 051,ESO467-G051,0.006031,22h23m16.61s,-28d58m51.5s,101
102,,,,9.7,,GALEXASC J222315.88-285848.4,,,22h23m15.89s,-28d58m48.4s,102
103,,07:35:35.50,-62:46:10.00,0.3,,2MASX J07353554-6246099,anon67,0.011325,07h35m35.54s,-62d46m10.0s,103
104,,23:33:12.20,-60:34:20.00,0.2,,2MASX J23331223-6034201,PGC128348,0.014827,23h33m12.23s,-60d34m20.1s,104
105,,18:44:43.30,-52:48:19.00,0.4,,GALEXASC J184443.33-524819.2,anon68,0.012000,18h44m43.34s,-52d48m19.3s,105
106,,22:53:24.70,+04:47:58.00,0.8,,2MASX J22532475+0447583,anon69,0.026000,22h53m24.75s,+04d47m58.1s,106
107,,05:25:18.10,-46:00:21.00,0.2,,ESO 253- G 003,ESO253-G003,0.042489,05h25m18.08s,-46d00m21.0s,107
108,,,,7.5,,SWIFT J0525.3-4600,,,05h25m17.76s,-46d00m14.4s,108
109,,00:39:52.60,-38:03:49.00,0.4,,GALEXASC J003952.48-380347.3,anon70,0.023000,00h39m52.57s,-38d03m48.7s,109
110,,23:45:14.80,-29:47:00.00,0.5,,2MASX J23451480-2947009,anon71,0.033600,23h45m14.81s,-29d47m00.5s,110
111,,12:54:13.10,-07:38:50.00,0.3,,GALEXASC J125413.02-073849.5,anon72,0.014000,12h54m13.08s,-07d38m50.1s,111
112,,11:51:52.50,+18:32:47.00,0.5,,UGC 06837,UGC06837,0.019930,11h51m52.47s,+18d32m47.2s,112
113,,,,4.0,,SDSS J115152.58+183243.1,,,11h51m52.58s,+18d32m43.2s,113
114,,,,8.2,,SDSS J115152.17+183253.6,,,11h51m52.17s,+18d32m53.7s,114
115,,,,9.0,,SDSS J115153.12+183245.6,,,11h51m53.13s,+18d32m45.6s,115
116,,12:45:08.60,-00:27:43.00,0.2,,NGC 4666,NGC4666,0.005101,12h45m08.59s,-00d27m42.8s,116
117,,,,6.5,,2XMM J124508.6-002735,,,12h45m08.36s,-00d27m37.6s,117
118,,,,10.0,,SDSS J124508.11-002749.8,,,12h45m08.12s,-00d27m49.9s,118
119,,22:57:14.80,-20:58:01.00,0.5,,2MASX J22571481-2058014,anon73,0.026191,22h57m14.81s,-20d58m01.5s,119
120,,03:11:02.50,-13:06:35.00,0.9,,IC 0299,IC0299,0.032046,03h11m02.55s,-13d06m34.5s,120
121,,14:10:39.70,-02:41:01.00,0.8,,2MASX J14103977-0241003,anon74,0.026995,14h10m39.75s,-02d41m00.7s,121
122,,23:32:07.40,-41:16:10.00,0.8,,LCRS B232926.0-413242,anon75,0.049194,23h32m07.46s,-41d16m09.6s,122
123,,12:48:15.20,+17:46:26.00,0.6,,VIII Zw 211,PGC043234,0.020600,12h48m15.23s,+17d46m26.5s,123
124,,,,3.1,,GALEXASC J124815.21+174622.8,,,12h48m15.22s,+17d46m22.9s,124
125,,,,9.9,,SDSS J124815.21+174616.1,,,12h48m15.22s,+17d46m16.1s,125
126,,01:06:47.90,-46:59:04.00,0.5,,GALEXASC J010647.95-465904.1,anon76,0.016000,01h06m47.93s,-46d59m03.5s,126
127,NOTE: No objects found in NED within 10.0 arcsec,23:55:09.00,+10:12:53.00,,,,anon77,0.013700,,,127
128,,01:26:40.10,-57:59:51.00,0.3,,ESO 113- G 047,ESO113-G047,0.018000,01h26m40.14s,-57d59m50.8s,128
129,,00:04:54.60,-32:26:16.00,0.6,,GALEXASC J000454.54-322615.3,anon78,0.031100,00h04m54.57s,-32d26m16.4s,129
130,,02:53:58.10,-21:38:55.00,0.4,,GALEXASC J025358.03-213854.7,anon79,0.031000,02h53m58.08s,-21d38m55.2s,130
131,,01:41:30.90,-65:36:56.00,0.3,,AM 0139-655 NED02,PGC006240,0.027406,01h41m30.95s,-65d36m56.1s,131
132,,,,2.7,,[MGS2007] J014130.67-653658.31,,,01h41m30.67s,-65d36m58.3s,132
133,,,,3.1,,[MGS2007] J014130.46-653657.50,,,01h41m30.46s,-65d36m57.5s,133
134,,,,3.2,,[MGS2007] J014131.42-653655.59,,,01h41m31.42s,-65d36m55.6s,134
135,,,,3.7,,[MGS2007] J014131.12-653652.59,,,01h41m31.12s,-65d36m52.6s,135
136,,,,4.4,,[MGS2007] J014131.13-653651.80,,,01h41m31.13s,-65d36m51.8s,136
137,,,,4.6,,[MGS2007] J014130.32-653653.15,,,01h41m30.32s,-65d36m53.2s,137
138,,,,4.9,,[MGS2007] J014130.16-653654.38,,,01h41m30.16s,-65d36m54.4s,138
139,,,,5.9,,[MGS2007] J014130.15-653659.70,,,01h41m30.15s,-65d36m59.7s,139
140,,,,6.0,,[MGS2007] J014131.52-653700.55,,,01h41m31.52s,-65d37m00.5s,140
141,,,,6.2,,[MGS2007] J014131.78-653658.93,,,01h41m31.78s,-65d36m58.9s,141
142,,,,7.4,,[MGS2007] J014131.79-653651.03,,,01h41m31.79s,-65d36m51.0s,142
143,,,,9.2,,[MGS2007] J014129.50-653652.78,,,01h41m29.50s,-65d36m52.8s,143
144,,,,9.8,,[MGS2007] J014129.56-653701.17,,,01h41m29.56s,-65d37m01.2s,144
145,,14:03:08.50,-38:28:31.00,0.5,The 2MASX position applies to a knot 9.5 arcsec southeast of the nucleus.,ESO 325- G 045,ESO325-G045,0.017842,14h03m08.54s,-38d28m31.2s,145
146,,10:52:53.60,-32:55:39.00,0.9,,NGC 3449,NGC3449,0.010921,10h52m53.66s,-32d55m39.4s,146
147,,,,1.3,,NGC 3449 GROUP,,,10h52m53.70s,-32d55m39.0s,147
148,,09:32:06.20,+08:26:30.00,0.5,,NGC 2906,NGC2906,0.007138,09h32m06.22s,+08d26m30.4s,148
149,,,,2.1,,GALEXASC J093206.34+082629.9,,,09h32m06.34s,+08d26m29.9s,149
150,,05:19:35.80,-32:39:27.00,0.3,,ESO 362- G 018,IRAS05177-3242,0.012445,05h19m35.80s,-32d39m27.3s,150
151,,,,3.9,,APMUKS(BJ) B051744.12-324223.3,,,05h19m35.68s,-32d39m23.4s,151
152,,19:11:25.70,-50:38:31.00,0.5,,NGC 6754,NGC6754,0.010864,19h11m25.72s,-50d38m30.5s,152
153,,,,3.5,,GALEXASC J191125.32-503831.0,,,19h11m25.33s,-50d38m31.0s,153
154,,,,8.0,,SN 2000do,,,19h11m26.19s,-50d38m24.5s,154
155,,23:44:15.70,+10:46:01.00,0.7,,NGC 7742,NGC7742,0.005547,23h44m15.73s,+10d46m01.5s,155
156,,,,4.7,,GALEXASC J234416.00+104559.6,,,23h44m16.00s,+10d45m59.7s,156
157,,,,8.2,,NGC 7742:[LB2005] X01,,,23h44m15.34s,+10d46m07.2s,157
158,,16:01:34.10,+01:42:28.00,0.4,,IC 1158,IC1158,0.006428,16h01m34.08s,+01d42m28.2s,158
159,,,,5.0,,GALEXASC J160134.32+014224.3,,,16h01m34.33s,+01d42m24.4s,159
160,,23:03:15.60,+08:52:26.00,0.5,,NGC 7469,NGC7469,0.016317,23h03m15.62s,+08d52m26.4s,160
161,,,,1.5,,NGC 7469:[CAT2001a] R3,,,23h03m15.52s,+08d52m25.1s,161
162,,,,1.6,,NGC 7469:[CAT2001a] R1,,,23h03m15.58s,+08d52m27.5s,162
163,,,,1.6,,SN 2000ft,,,23h03m15.50s,+08d52m26.5s,163
164,,,,1.6,,NGC 7469:[CAT2001a] R2,,,23h03m15.68s,+08d52m27.1s,164
165,,,,4.6,,GALEXASC J230315.67+085230.4,,,23h03m15.68s,+08d52m30.5s,165
166,,,,7.3,,NGC 7469:[EKS96] 012,,,23h03m15.61s,+08d52m18.7s,166
167,,,,8.3,,NGC 7469:[EKS96] 007,,,23h03m15.05s,+08d52m27.7s,167
168,,,,9.7,,NGC 7469:[EKS96] 015,,,23h03m16.24s,+08d52m24.2s,168
169,,,,9.7,,NGC 7469:[EKS96] 006,,,23h03m15.03s,+08d52m30.8s,169
