Amusing_Name,redshift_amusing,def_name,SN_name_1,SN_type,pgc,hyperleda_name,other_names(pgc),objtype,RA_hours_hyperleda,RA_degrees_hyperleda,DEC_deggrees_hyperleda,Delta_RA(arcsec),Delta_dec(arcsec),l2,b2,type,bar,ring,compactness,t,e_t,logd25,e_logd25,logr25,e_logr25,pa,brief,e_brief,bt,e_bt,it,e_it,ubt,bvt,vmaxg,e_vmaxg,vmaxs,e_vmaxs,vdis,e_vdis,m21,e_m21,vrad,e_vrad,v,e_v,ag,ai,incl,btc,ubtc,bvtc,bri25,vrot,e_vrot,modz,mod0,mabs,Pointings,RA_pointing,DEC_pointing,RA_SN,DEC_SN,Source
anon7,0.049534,SN 2006eq,SN2006eq,Ia,5070573,SN2006EQ,SN2006EQ,sn,21.477,322.155,1.2280556,-0.3,-1.6E-5,54.6251041,-33.6242931,,,,,,,,,,,,,,18.632,0.294,18.653,0.1,,,,,,,,,,,,,,,0.208,,,18.425,,,,,,,,,1.0,21:28:37,01:13:41,21:28:37,01:13:41,P95
NGC232,0.022258,NGC0232,SN2006et,Ia,2559,NGC0232,VV830/PGC002559/NGC0232/MCG-04-02-040/IRAS00402-2350/ESOLV4740150/ESO474-015/DUKST474-003/6dFJ0042458-233341/2MASXJ00424586-2333418/2MASXJ00424581-2333406,G,0.7127052,10.690578,-23.5612956,-1.10808,0.066416,93.6702733,-85.9302515,SBa,B,R,,1.1,0.5,0.992,0.041,0.144,0.026,17.18,20.834,0.312,14.423,0.191,,,,,135.52,10.7,,,,,16.85,0.266,6675.0,10.9,6684.2,21.0,0.083,0.137,47.43,14.12,,,22.957,184.0,14.73,34.895,34.6,-20.775,1.0,00:42:46,-23:33:42,00:42:46,-23:33:30,P95
anon8,0.080055,GALEXASC J014710.29-000848.3,SN2006fw,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,01:47:10,-0:08:47,01:47:10,-0:08:49,P95
anon9,0.044771,2MASX J00561810-0137327,SN2006gt,Ia,1114283,PGC1114283,SDSSJ005618.08-013732.9/PGC1114283/NFPJ005618.1-013733/2MASXJ00561810-0137327,G,0.9383555,14.0753325,-1.6258145,-0.1197,-0.00678,125.7529222,-64.4709321,,,,,,,0.57,0.087,0.19,0.028,172.5,,,17.68,0.5,16.01,0.082,,,,,,,,,,,,,13424.8,5.5,0.161,,50.91,17.385,,,24.27,,,36.471,36.492,-19.086,1.0,00:56:18,-1:37:31,00:56:17,-1:37:46,P95
anon10,0.050034,2MASX J01135716+0022171,SN2006hx,Ia,73820,PGC073820,SDSSJ011357.18+002217.1/PGC073820/DRCG06-085/2MASXJ01135716+0022171,G,1.232546,18.48819,0.3714195,-0.2484,0.08898,134.9796769,-61.9725336,S0,,,,-2.5,1.4,0.566,0.086,0.228,0.028,90.57,,,16.876,0.355,15.142,0.292,,,,,,,,,,,,,13607.5,3.6,0.13,0.0,68.94,16.542,,,23.418,,,36.5,,-19.958,1.0,01:13:57,00:22:19,01:13:57,00:22:18,P95
anon11,NULL,APMUKS(BJ)B051529.79-235009.8,SN2006is,Ia,5069157,APMUKS(BJ)B051529.79-235009.8,APMUKS(BJ)B051529.79-235009.8,G,5.2929408,79.394112,-23.7835614,-0.88032,0.682104,225.865576,-30.5427768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146,,,,,,,,,,35.65,,1.0,05:17:34,-23:46:54,05:17:34,-23:46:54,P95
anon12,0.053036,2MASX J09151727-2536001,SN2006lu,Ia,5068419,2MASXJ09151727-2536001,2MASXJ09151727-2536001,G,9.2547972,138.821958,-25.6000278,-0.40488,0.010008,253.5502776,15.921477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15889.0,60.0,0.5,,,,,,,,,36.833,,,1.0,09:15:17,-25:36:00,09:15:18,-25:36:00,P95
UGC1333,0.059201,UGC1333,SN2006ob,Ia,6888,UGC01333,UGC01333/SDSSJ015148.51+001549.8/PGC006888/MCG+00-05-041/CGCG386-046/2MASXJ01514849+0015499,G,1.8634774,27.952161,0.2638347,-0.77796,0.019508,153.3013272,-59.0014007,Sb,,,,3.0,0.5,0.962,0.052,0.133,0.025,98.77,,,15.528,0.281,13.471,0.392,,,,,,,,,,,,,17736.8,3.8,0.143,0.198,44.43,15.054,,,23.852,,,37.094,37.08,-22.041,1.0,01:51:48,00:15:50,01:51:48,00:15:48,P95
UGC2384,0.032842,UGC02384,SN2006os,Ia,10998,UGC02384,UGC02384/PGC010998/MCG+03-08-028/CGCG463-031/2MASXJ02550056+1600445,G,2.9168222,43.752333,16.0123611,0.66012,-0.049996,161.3790276,-37.4675804,Sb,,,,3.4,1.6,0.964,0.048,0.443,0.028,130.6,,,15.177,0.331,13.0,0.1,,,,,,,,,,,9836.0,10.3,9836.2,4.8,0.634,0.65,74.19,13.819,,,22.997,,,35.789,35.675,-21.969,1.0,02:55:01,16:00:45,02:55:01,16:00:35,P95
E544-G31,0.05299,ESO 544- G 031,SN2006ot,Ia,8610,ESO544-031,PGC008610/NPM1G-20.0085/ESOLV5440310/ESO544-031/6dFJ0215046-204604/2MIG0262/2MASXJ02150461-2046037,G,2.2512796,33.769194,-20.7677367,0.59016,-0.014788,199.0123703,-69.8912154,Sa,,,,1.4,1.3,0.981,0.04,0.306,0.027,6.24,21.953,0.333,15.371,0.227,13.115,0.079,,,,,,,,,,,,,15900.0,34.7,0.076,0.306,66.31,14.79,,,23.649,,,36.833,35.94,-22.043,1.0,02:15:05,-20:46:02,02:15:05,-20:45:58,P95
anon13,0.060041,SN 2006py,SN2006py,Ia,5070810,SN2006PY,SN2006PY,sn,22.695,340.425,-0.1369444,0.0,0.099984,68.4433004,-48.7849648,,,,,,,,,,,,,,18.197,0.3,18.556,0.1,,,,,,,,,,,,,,,0.26,,,17.936,,,,,,,,,1.0,22:41:42,-0:08:13,22:41:42,-0:08:13,P95
anon14,0.012078,2MASX J09591870-1928233,SN2007al,Ia,3749746,2MASXJ09591870-1928233,HCG042:[ZM98]0028/HCG042:[CMI2006]F02-4007/6dFJ0959187-192823/2MASXJ09591870-1928233,G,9.9885295,149.8279425,-19.4730036,0.4407,-0.018704,256.4509243,27.4737208,,,,,,,,,,,5.0,,,16.35,0.5,,,,,,,,,,,,,,,3637.7,15.1,0.182,,,16.132,,,,,,33.54,34.18,-17.409,1.0,09:59:19,-19:28:24,09:59:18,-19:28:26,P95
UGC9798,0.037692,UGC 09798,SN2007ba,Ia,54516,UGC09798,UGC09798/PGC054516/CGCG049-087/2MASXJ15164182+0723492,G,15.2782833,229.1742495,7.397,0.27018,-0.02,9.891204,50.3420494,S0-a,,,,-0.1,0.4,1.066,0.045,0.319,0.034,166.26,,,15.257,0.299,,,,,,,,,,,,,,,11300.0,70.2,0.16,0.112,71.08,14.816,,,24.151,,,36.122,35.807,-21.305,1.0,15:16:42,07:23:49,15:16:43,07:23:48,P95
UGC6332,0.020831,UGC 06332,SN2007bc,Ia,34630,UGC06332,UGC06332/SDSSJ111916.62+204848.8/SDSSJ111916.61+204848.8/SDSSJ111916.61+204848.7/PGC034630/MCG+04-27-019/CGCG126-030/2MASXJ11191665+2048488,G,11.3212852,169.819278,20.8135671,0.55992,-0.084156,224.6662949,68.0594328,Sa,B,,,1.0,0.4,1.064,0.084,0.076,0.049,152.31,21.547,0.558,14.274,0.267,12.637,0.069,,,,,,,,,,,,,6221.3,1.8,0.094,0.073,35.17,14.03,,,23.245,,,34.825,34.82,-20.795,1.0,11:19:17,20:48:48,11:19:15,20:48:33,P95
E508-G75,0.033246,E508-G75,SN2007cg,Ia,46959,ESO508-075,PGC046959/IRAS13228-2423/ESOLV5080750/ESO508-075/AGC029613/6dFJ1325334-243909/2MASXJ13253335-2439085,G,13.4259386,201.389079,-24.652353,0.93156,0.04708,312.7239673,37.5698556,Sc,,,,5.0,2.0,0.896,0.066,0.539,0.055,172.82,20.763,0.49,15.998,0.198,15.73,1.175,,,166.0,2.7,,,,,,,,,9939.0,32.2,0.354,0.891,77.8,14.697,,,23.216,169.84,2.79,35.798,35.44,-21.101,1.0,13:25:34,-24:39:06,13:25:34,-24:39:08,P95
NGC7461,0.014249,NGC7461,SN2007hj,Ia,70290,NGC7461,UGC12314/PGC070290/NGC7461/MCG+02-58-056/CGCG430-051/2MASXJ23014831+1534566,G,23.0300861,345.4512915,15.5823889,-0.46494,0.439996,87.7500319,-39.6844158,S0,B,,,-1.9,0.5,0.971,0.049,0.052,0.029,166.0,,,14.551,0.256,,,,,,,,,163.68,3.82,,,,,4236.5,19.4,0.383,0.0,31.55,14.105,,,23.156,,,33.993,33.804,-19.888,1.0,23:01:48,15:35:01,23:01:48,15:35:11,P95
anon15,0.080055,SN 2007hx,SN2007hx,Ia,5070985,SN2007HX,SN2007HX,sn,2.1075278,31.612917,-0.8994444,-0.15012,-1.6E-5,160.5099504,-58.1891955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152,,,,,,,,,,,,1.0,02:06:27,-0:53:58,02:06:27,-0:53:58,P95
anon16,0.070048,GALEXMSC J010545.98-004530.2,SN2007mm,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,01:05:45,-0:44:00,01:05:47,-0:45:32,P95
anon17,0.060041,2MASXJ01372378-0018422,SN2007ol,Ia,1146479,2MASXJ01372378-0018422,SDSSJ013723.79-001842.2/SDSSJ013723.77-001842.2/PGC1146479/2MASXJ01372378-0018422,G,1.6232687,24.3490305,-0.31171,-1.15098,-0.0844,147.1906613,-61.000207,,,,,,,0.44,0.105,0.06,0.028,64.0,,,17.489,0.385,15.624,0.314,,,,,,,,,,,,,16798.0,4.0,0.103,,29.96,17.218,,,23.429,,,36.97,,-19.752,1.0,01:37:23,-0:18:43,01:37:24,-0:18:43,P95
UGC5378,0.013959,UGC5378,SN2007S,Ia,28949,UGC05378,UGC05378/SDSSJ100031.99+042425.4/PGC1267806/PGC028949/MCG+01-26-008/IRAS09579+0438/CGCG036-016/AGC005378/2MASXJ10003193+0424254,G,10.0088827,150.1332405,4.4071059,-1.46658,-0.058124,234.3668087,43.3848391,Sb,,,,3.1,0.4,0.987,0.051,0.308,0.025,104.28,,,14.493,0.468,13.626,0.072,,,116.95,3.51,,,,,15.497,0.301,4160.8,4.9,4161.3,4.3,0.121,0.445,64.2,13.896,,,22.66,129.9,3.94,33.909,33.762,-20.013,1.0,10:00:31,04:24:26,10:00:31,04:24:26,P95
NGC1109,0.02983,NGC1109,SN2007so,Ia,10660,IC1852,UGC02293/PGC010660/NGC1112/NGC1109/MCG+02-08-011/IRAS02462+1301/IC1852/CGCG440-015/2MASXJ02490037+1313257,G,2.795438867,41.931583,13.255333,-114.55476,11.329984,161.9153783,-40.5838263,Sc,B,,,5.1,0.9,0.995,0.047,0.146,0.028,10.6,,,14.838,0.271,,,,,135.41,5.99,,,,,,,8456.0,8.1,8428.5,25.8,0.544,0.251,45.55,13.997,,,23.275,189.69,8.62,35.445,,-21.448,1.0,02:47:44,13:15:19,02:47:43,13:15:15,P95
IC3284,0.026131,IC3284,SN2008ar,Ia,40400,IC3284,VCC0736/SDSSJ122437.56+105020.6/SDSSJ122437.55+105020.5/PGC040400/NGC4325:[ZM98]0011/IC3284/CGCG070-055/2MASXJ12243754+1050203,G,12.4104302,186.156453,10.8390789,0.67692,0.031596,280.4799437,72.5317063,SBab,B,R,,1.7,2.2,0.743,0.067,0.044,0.027,,23.455,0.481,15.298,0.353,14.306,0.141,0.11,,,,,,,,,,,,7846.2,3.4,0.16,0.053,26.59,15.007,0.109,,22.693,,,35.31,35.787,-20.304,1.0,12:24:38,10:50:21,12:24:38,10:50:17,P95
anon19,0.015087,SN 2008bc,SN2008bc,Ia,5071274,SN2008BC,SN2008BC,sn,9.642,144.63,-63.9738889,-0.3,0.100004,283.6039157,-8.6040586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.135,,,,,,,,,,,,1.0,09:38:34,-63:58:21,09:38:31,-63:58:26,P95
anon20,0.046031,[WLF2008] J140732.38-263305.6,SN2008cf,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,14:07:32,-26:33:06,14:07:33,-26:33:07,P95
E284-G32,0.019173,ESO 284- G 032,SN2008ff,Ia,64319,ESO284-032,PGC064319/IRAS20104-4430/FAIR0885/ESOLV2840320/ESO284-032/2MASXJ20135626-4421040,G,20.2322944,303.484416,-44.3511111,-0.38976,-0.100004,355.7690616,-32.8831995,S0-a,B,R,,0.2,0.7,1.073,0.057,0.0,0.047,,20.123,0.326,13.7,0.2,,,,,,,,,,,,,,,5747.6,19.5,0.219,0.0,0.0,13.395,,,22.806,,,34.553,,-21.158,1.0,20:13:57,-44:21:04,20:14:00,-44:21:08,P95
anon21,0.05904,2MASX J22104396-2047256,SN2008go,Ia,836926,PGC836926,PGC836926/NPM1G-21.0533/6dFJ2210440-204726/2MASXJ22104396-2047256,G,22.1788774,332.683161,-20.7904229,0.06204,0.852244,33.863885,-52.8995665,,,,,,,0.64,0.079,0.1,0.028,38.5,,,16.707,0.296,14.245,0.079,,,,,,,,,,,,,18679.5,42.9,0.16,,38.13,16.36,,,23.647,,,37.207,,-20.848,1.0,22:10:44,-20:47:16,22:10:45,-20:47:17,P95
M-02-01-14,0.038329,MCG-02-01-014,SN2008hj,Ia,282,PGC000282,PGC000282/MCG-02-01-014/6dFJ0004015-111027/2MASXJ00040151-1110275,G,0.0670872,1.006308,-11.174213,-0.77088,0.01668,85.715967,-70.5384479,Sa,,R,,1.0,0.5,0.951,0.047,0.091,0.027,,,,14.947,0.305,13.6,0.081,,,,,,,,,,,,,11344.0,48.0,0.155,0.086,38.21,14.564,,,23.338,,,36.089,,-21.525,1.0,00:04:01,-11:10:24,00:04:02,-11:10:08,P95
E570-G20,0.027705,ESO 570- G 020,SN2009aa,Ia,34991,ESO570-020,PGC034991/MCG-04-27-009/ESO570-020/6dFJ1123410-221614,G,11.3947064,170.920596,-22.2706104,0.08544,0.019744,277.5489708,36.2384593,Sb,,,,3.2,2.1,0.863,0.053,0.207,0.024,75.0,,,15.083,0.32,13.335,0.075,,,,,,,,,,,,,8306.2,55.4,0.147,0.312,54.1,14.561,,,22.786,,,35.39,,-20.829,1.0,11:23:36,-22:15:46,11:23:42,-22:16:15,P95
M-03-10-52,0.025074,MCG-03-10-052,SN2009D,Ia,14075,ESO549-031,PGC014075/MCG-03-10-052/IRAS03521-1920/ESOLV5490310/ESO549-031/AGC023036/6dFJ0354247-191125/2MASXJ03542465-1911250,?,3.9068551,58.6028265,-19.1902319,0.48246,-0.016516,212.2550428,-47.4315782,Sb,,,,3.2,1.3,1.05,0.049,0.361,0.034,25.52,21.406,0.321,14.845,0.196,13.033,0.078,,,164.4,3.67,,,,,16.292,0.245,7509.7,7.1,7510.0,5.2,0.228,0.528,68.38,14.033,,,23.236,176.84,4.0,35.143,,-21.11,1.0,03:54:24,-19:11:20,03:54:23,-19:10:54,P95
NGC1080,0.026161,NGC1080,SN2009I,Ia,10416,NGC1080,PGC010416/NGC1080/MCG-01-08-003/IRAS02426-0455/AGC420231/6dFJ0245099-044239/2MASXJ02450993-0442388,G,2.7527597,41.2913955,-4.7107778,0.09762,-0.019992,178.39755,-54.8298317,SABc,B,,,4.7,0.5,1.038,0.043,0.123,0.03,165.88,,,14.141,0.044,12.5,0.1,,0.56,87.41,4.17,,,,,16.268,0.393,7848.0,11.5,7845.4,2.6,0.136,0.209,42.34,13.753,,0.454,22.839,129.79,6.39,35.264,,-21.511,1.0,02:45:10,-4:42:39,02:45:10,-4:42:49,P95
NGC1578,0.020374,NGC1578,SN2014cd,Ia,15025,NGC1578,PGC015025/NGC1578/IRAS04224-5142/FAIR0771/ESOLV2020140/ESO202-014/2MASXJ04234665-5135579,G,4.3962917,65.9443755,-51.5994167,0.52482,-0.009988,259.6504039,-43.581774,Sa,,,,1.2,0.7,1.082,0.033,0.134,0.022,165.05,21.289,0.233,13.9,0.05,11.92,0.083,,0.79,,,,,,,,,,,6173.1,20.5,0.06,0.134,45.7,13.628,,0.7,22.887,,,34.663,,-21.034,1.0,04:23:47,-51:35:58,04:23:47,-51:36:03,P95
anon22,NULL,PGC547157,CSP14abn,Ia,547157,PGC547157,PGC547157/6dFJ1356032-433432/2MASXJ13560316-4334319,G,13.9342179,209.0132685,-43.5755215,1.22334,-3.71226,315.1505279,17.7579749,,,,,,,0.73,0.07,0.2,0.028,166.5,,,16.5,0.406,14.505,0.079,,,,,,,,,,,,,6760.4,42.8,0.374,,52.05,16.058,,,23.89,,,34.922,,-18.864,1.0,13:56:04,-43:35:09,13:56:04,-43:35:10,P95
anon23,0.06,SDSS J124653.32+144748.4,PS1-14rx,Ia,4002840,SDSSJ124653.32+144748.4,SDSSJ124653.32+144748.4,G,12.7814814,191.722221,14.7968487,-0.49956,0.134468,297.7954699,77.6231739,,,,,,,0.411,0.384,0.033,0.1,,,,18.003,0.5,16.907,0.077,,,,,,,,,,,,,19941.3,5.0,0.134,,22.36,17.67,,,23.8,,,37.376,,-19.706,1.0,12:46:53,14:47:51,12:46:53,14:47:50,P95
anon24,0.08,APMUKS(BJ) B141811.91-050120.8,LSQ14bjj,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,14:20:49,-5:15:01,14:20:49,-5:15:02,P95
anon25,0.057,GALEXASC J195932.30-565932.4,LSQ14bbv,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,19:59:33,-56:59:27,19:59:33,-56:59:28,P95
NGC7119B,0.031982,NGC 7119B,SN2014at,Ia,67322,NGC7119B,PGC067322/NGC7119B/ESOLV2880010/ESO288-001/6dFJ2146152-463106/2MASXJ21461519-4631063,G,21.7708816,326.563224,-46.5184452,-0.26064,-0.059728,352.1593754,-48.9378846,Sc,,,,5.0,0.5,0.808,0.066,0.488,0.028,24.24,21.781,0.482,14.088,0.865,,,,,,,,,,,,,,,9590.7,43.0,0.083,0.812,74.94,13.14,,,20.957,,,35.693,,-22.552,1.0,21:46:15,-46:31:06,21:46:15,-46:31:21,P95
anon26,0.05,2MASX J13434760-3254381,LSQ14ahc,Ia,683995,PGC683995,PGC683995/2MASXJ13434760-3254381,G,13.7298889,205.9483335,-32.9105833,0.59994,0.309988,315.4482035,28.6855574,,,,,,,0.59,0.085,0.34,0.028,72.5,,,17.23,0.5,16.035,0.075,,,,,,,,,,,,,,,0.234,,64.68,16.996,,,23.92,,,,,,1.0,13:43:48,-32:54:35,13:43:48,-32:54:35,P95
anon27,NULL,anon27-null,CSP14aar,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,05:48:23,-66:47:30,05:48:23,-66:47:30,P95
anon28,NULL,2MASX J06134795-6755146,CSP14aaq,Ia,3708581,2MASXJ06134795-6755146,6dFJ0613480-675515/2MASXJ06134795-6755146,G,6.2299917,93.4498755,-67.9207083,0.04482,-0.045012,277.9718108,-28.5050691,E,,,,-5.0,2.0,,,,,70.0,,,,,,,,,,,,,,,,,,,10781.5,26.4,0.263,,,,,,,,,35.934,,,1.0,06:13:48,-67:55:15,06:13:48,-67:55:15,P95
anon29,0.08,anon29-null,LSQ14ie,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,12:55:33,-32:56:40,12:55:33,-32:56:40,P95
anon30,0.04,APMUKS(BJ) B033105.19-262232.9,LSQ13dsm,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,03:33:13,-26:12:24,03:33:13,-26:12:24,P95
anon31,NULL,2MASX J06380745-7543288,CSP13abl,Ia,243186,PGC243186,PGC243186/2MASXJ06380745-7543288,G,6.6354028,99.531042,-75.7246667,-0.67512,-0.819988,286.8875426,-27.0420249,,,,,,,0.79,0.064,0.16,0.028,80.0,,,15.71,0.5,14.35,0.074,,,,,,,,,,,,,,,0.431,,47.21,15.279,,,23.4,,,,,,1.0,06:38:07,-75:43:37,06:38:07,-75:43:37,P95
anon32,0.07,2MASX J03101094-3638017,LSQ13dkp,Ia,132141,PGC132141,PGC132141/DUKST357-012/6dFJ0310109-363802/2MASXJ03101094-3638017,G,3.1697042,47.545563,-36.6337222,-1.40268,1.639992,239.681148,-59.2432169,S0-a,,,,0.0,3.0,0.827,0.057,0.036,0.026,,,,16.165,0.366,13.869,0.099,,,,,,,,,,,,,20681.0,28.0,0.073,0.016,24.79,15.766,,,24.016,,,37.42,,-21.654,1.0,03:10:18,-36:39:19,03:10:10,-36:37:45,P95
anon33,0.07,GALEXMSC J021234.60-372019.1,LSQ13dhj,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,02:12:34,-37:20:24,02:12:34,-37:20:23,P95
anon34,NULL,anon34-null,CSP13aaq,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,04:19:47,-63:43:22,04:19:47,-63:43:22,P95
anon35,NULL,2MASX J05583036-6333386,CSP13aao,Ia,3705858,2MASXJ05583036-6333386,2MASXJ05583036-6333386,g,5.9751,89.6265,-63.5607222,-0.54,0.059992,272.9223426,-29.9338233,,,,,,,,,,,115.0,,,,,,,,,,,,,,,,,,,,,0.226,,,,,,,,,,,,1.0,05:58:30,-63:33:38,05:58:30,-63:33:38,P95
anon36,0.08,anon36-null,LSQ13dcy,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,04:55:16,-19:59:58,04:55:16,-20:00:05,P95
anon38,NULL,2MASX J01460987-6727579,CSP13aad,Ia,295277,PGC295277,PGC295277/2MASXJ01460987-6727579,G,1.7694083,26.5411245,-67.4660833,-1.30482,-0.210012,295.0201314,-48.8128098,,,,,,,0.57,0.087,0.15,0.028,47.0,,,16.89,0.5,15.57,0.073,,,,,,,,,,,,,,,0.105,,45.87,16.785,,,23.48,,,,,,1.0,01:46:09,-67:28:01,01:46:09,-67:28:00,P95
E287-G40,0.030868,ESO 287- G 040,SN2013fy,Ia,67061,ESO287-040,PGC067061/ESOLV2870400/ESO287-040/AM2134-471/6dFJ2137282-470209/2MASXJ21372818-4702090,G,21.6244826,324.367239,-47.035701,-0.20604,-0.04764,351.8266143,-47.363156,SABb,B,R,,3.6,2.1,1.049,0.038,0.11,0.025,135.09,22.412,0.311,14.246,0.229,,,,,,,,,,,,,,,9254.0,21.0,0.123,0.173,40.51,13.89,,,23.038,,,35.613,,-21.723,1.0,21:37:28,-47:02:07,21:37:27,-47:01:55,P95
anon39,0.019163,2MASXJ13265081-1001263,SN2013bz,Ia-pec,170248,2MASXJ13265081-1001263,PGC170248/2MIG1854/2MASXJ13265081-1001263,G,13.4474469,201.7117035,-10.0239861,0.28674,-0.565004,317.1383529,51.8683939,Sc,,,,4.7,1.2,1.025,0.047,0.507,0.028,150.67,,,15.45,0.359,13.573,0.114,,,159.55,8.83,,,,,17.066,0.6,5795.0,8.6,5792.9,9.3,0.193,0.825,76.44,14.4,,,23.391,164.13,9.1,34.632,,-20.231,1.0,13:26:51,-10:01:31,13:26:51,-10:01:32,P95
E306-G16,0.037332,ESO 306- G 016,SN2013az,Ia,17566,ESO306-016,PGC017566/MCG-07-12-008/ESOLV3060160/ESO306-016/6dFJ0539535-403045/2MASXJ05395346-4030449,G,5.6648502,84.972753,-40.5124525,-0.69108,-0.0171,246.0329846,-30.2668756,Sa,,,,1.0,2.0,1.043,0.039,0.222,0.026,150.98,21.821,0.306,14.93,0.246,12.693,0.081,,,,,,,,,,,,,11186.5,42.8,0.139,0.198,57.94,14.453,,,23.64,,,36.021,,-21.568,1.0,05:39:53,-40:30:45,05:39:52,-40:30:28,P95
anon40,0.070048,SN 2013as,SN2013as,Ia,5072045,SN2013AS,SN2013AS,sn,11.8811944,178.217916,-18.9888889,-0.44976,0.100004,284.2470706,41.7481785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,1.0,11:52:52,-18:59:19,11:52:52,-18:59:20,P95
anon41,0.03002,SN 2013ao,SN2013ao,Ia,5072042,SN2013AO,SN2013AO,sn,11.7457222,176.185833,-20.5280556,-0.89988,1.6E-5,282.4968687,39.6825141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174,,,,,,,,,,,,1.0,11:44:45,-20:31:41,11:44:45,-20:31:41,P95
anon42,NULL,2MASX J02022241-6544090,CSP13Q,Ia,310643,PGC310643,PGC310643/2MASXJ02022241-6544090,G,2.0395583,30.5933745,-65.7358333,-0.61482,-1.2E-5,291.7443737,-49.8232311,,,,,,,0.46,0.102,0.12,0.028,105.0,,,17.2,0.5,16.01,0.073,,,,,,,,,,,,,,,0.147,,41.47,17.053,,,23.24,,,,,,1.0,02:02:22,-65:44:07,02:02:22,-65:44:09,P95
anon43,0.07,2MASXi J0401529-263947,LSQ12hzs,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,04:01:52,-26:39:50,04:01:53,-26:39:50,P95
anon44,0.0694,2MASX J03194423-2700201,LSQ12hxx,Ia,3657134,2MASXJ03194423-2700201,6dFJ0319442-270021/2MASXJ03194423-2700201,G,3.3289498,49.934247,-27.00564,-0.32892,-0.5696,221.4020687,-57.1087618,,,,,,,,,,,0.0,,,16.61,0.5,,,,,,,,,,,,,,,20808.6,39.3,0.079,,,16.323,,,,,,37.434,,-21.111,1.0,03:19:44,-27:00:26,03:19:44,-27:00:26,P95
anon45,0.06,GALEXASC J110738.65-294235.5,LSQ12hvj,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,11:07:39,-29:42:41,11:07:39,-29:42:41,P95
anon46,0.16,anon-46-null,LSQ12hnx,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,02:35:18,-30:57:49,02:35:18,-30:57:49,P95
anon47,0.1,GALEXASC J024043.58-344425.0,LSQ12gzm,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,02:40:43,-34:44:26,02:40:44,-34:44:26,P95
NGC7580,0.015967,NGC 7580,SN2012gm,Ia,70962,NGC7580,UGC12481/SDSSJ231736.40+140004.4/SDSSJ231736.39+140004.3/PGC070962/NGC7580/MRK0318/MCG+02-59-019/LGG471:[G93]006/KUG2315+137/IRAS23150+1343/CGCG431-034/AGC012481/2MASXJ23173637+1400034,G,23.2934451,349.4016765,14.0010743,0.89646,0.013252,91.0593152,-42.988947,Sa,,,C,1.0,2.0,0.897,0.06,0.087,0.04,41.29,20.213,0.349,14.254,0.113,13.556,0.128,-0.07,0.58,98.38,3.76,,,,,15.407,0.17,4433.6,5.0,4412.8,5.3,0.198,0.083,37.52,13.918,-0.105,0.48,22.38,161.53,6.7,34.073,,-20.155,1.0,23:17:37,14:00:05,23:17:37,14:00:09,P95
